IncidentNum,incident_type,vic_type,mo,weapon_used,gang_related
214922-2017,CRIMINAL TRESPASS,Business,CRIMINAL TRESPASS ARREST,Other,UNK
144619-2018,FRAUD USE/POSS IDENTIFYING INFO # ITEMS 10<50,Individual,AP POSSESSED 10 CREDIT CARDS/ID'S NOT BELONGING TO HIM,,
120394-2018,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Business,"SUSPECTS OPEN KEY LOCK BOXES ON VEHICLES, REMOVED KEYS, TOOK VEHS",,
227371-2018,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Individual,UNK SUSP TOOK COMP'S VEHICLE WITHOUT CONSENT.,,
144619-2018,FRAUD USE/POSS IDENTIFYING INFO # ITEMS 10<50,Individual,AP POSSESSED 10 CREDIT CARDS/ID'S NOT BELONGING TO HIM,,
122460-2021,UNLAWFUL CARRYING WEAPON,Society/Public,UCW,Handgun,
166716-2018,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Individual,SUSPECT TOOK COMP'S CAR WITHOUT CONSENT,,
246868-2018,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Individual,UNK SUSPECT TOOK COMPS VEHICLE W/OUT CONSENT,,
012501-2018,UNLAWFUL CARRYING WEAPON ON ALCOHOL PREMISES,Government,AP HAD A LOADED 9 MM INSIDE THE CONVENIENCE STORE W/O A LICENSE,Handgun,No
017326-2018,UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,Individual,UUMV,Other,No
214200-2018,POSS CONT SUB PEN GRP 1 <1G,Society/Public,AP WAS IN POSSESION OF METH,,
069729-2018,POSS MARIJUANA <2OZ,Society/Public,AP FOUND IN POSSESSION OF MARIJUANA,,
257110-2018,UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,Individual,SUSPECT TOOK COMP'S TRUCK WITH OUT CONSENT,,
260215-2018,ASSAULT -OF CORRECTIONAL OFFICER - BODILY INJURY ONLY,Individual,AP HEAD BUTTED THE COMPLAINANT CAUSING PAIN,Personal Weapons (Hands-Feet ETC),UNK
181812-2018,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Individual,UNKNOWN PERSON TOOK VEHICLE WITHOUT CONSENT,,
222957-2018,RESIST ARREST SEARCH OR TRANSPORT,Government,THE AP BEGAN TO RESIST AO'S AS THEY WERE TRANSPORTING HIM.,,
047929-2018,RECOVERED OUT OF TOWN STOLEN VEHICLE (NO OFFENSE),Government,A/P OPERATED VEHICLE WITHOUT PERMISSION,,
012501-2018,UNLAWFUL CARRYING WEAPON ON ALCOHOL PREMISES,Business,AP HAD A LOADED 9 MM INSIDE THE CONVENIENCE STORE W/O A LICENSE,Handgun,No
197477-2017,EVADING ARREST DETENTION W/VEHICHLE PC38.04(b)(2)(A),Government,A/P EVADED IN A VEHICLE.,Other,No
203617-2018,RECOVERED OUT OF TOWN STOLEN VEHICLE (NO OFFENSE),Government,AP'S TOOK MOTORCYCLES WITHOUT CONSENT,,
215835-2018,POSS CONT SUB PEN GRP 1 <1G,Society/Public,A/P WAS IN POSS OF CONTROLLED SUBSTANCE,,
262317-2018,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Individual,"UNK SUSP TOOK COMP'S VEHICLE, WITHOUT PERMISSION",,
264946-2018,TRAF VIO -DISPLAY FICTITIOUS LICENSE PLATE,Government,AP WAS DRIVING ON A PUBLIC ROADWAY WITH A FICTICIOUS PLATE.,,
214200-2018,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Government,AP WAS ARRESTED FOR UUMV,,
213761-2018,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Business,,,
112953-2018,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Individual,AP WAS IN POSSESSION OF A STOLEN VEHICLE,,
140877-2018,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Individual,AP TOOK COMPS KEYS AND MOVED COMPS CAR W/O CONSENT.,,
202075-2018,UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,Government,SUSP TOOK AND DROVE CAR W/O OWNERS CONSENT,,
207441-2018,"THEFT OF SERVICE > OR EQUAL $750 <$2,500 PC31.04(e3)",Business,SUSPECT FAILED TO RETURN THE VEHICLE UPON DEMAND.,,
022515-2021,"EVADING ARREST DET W/VEH/WTRCFT W/PREV CONV OR SBI PC38.04(b2A,B)",Government,AP WAS ARRESTED FOR EVADING DETENTION,,
169722-2018,UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,Individual,UNK SUSP TOOK COMP'S VEHICLE W/O CONSENT,,
075483-2018,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Individual,UNK SUSP TOOK VEHICLE W/O PERMISSION,,
238705-2018,UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,Business,COMP VEHICLE WAS TAKEN WITHOUT PERMISSION,,
179170-2018,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Individual,UNK SUSP TOOK COMP'S VEHICLE W/O CONSENT.,,
011926-2018,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Individual,UNK SUSP TOOK COMPS LISTED VEHICLE WITHOUT PERMISSION,Other,No
026713-2021,MAN DEL CONT SUB PEN GRP 1 > OR EQUAL 4G<200G,Government,AP WAS IN POSSESION OF COCAINE WITH INTENT TO SELL,,
275663-2018,UNAUTHORIZED USE OF MOTOR VEH - OTHER VEH,Business,AP TOOK COMPS PROPERTY WITH OUT PERMISSION,,
183249-2018,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Government,A/P WAS DRIVING VEH W/O CONSENT ON PUBLIC ROADWAY.,,
241603-2018,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Individual,A/P OPERATED STOLEN VEHICLE ON PUBLIC ROADWAY WITHOUT PERMISSION.,,
026713-2021,POSS MARIJUANA >4OZ< OR EQUAL 5LBS,Government,AP WAS IN POSSESSION OF MARIJUANA,,
164745-2018,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Individual,SUSP TOOK COMPS VEHICLE W/O PERMISSION FLED LOCATION,,
043912-2021,APOWW (SOCIAL SERVICES REFERRAL),Government,AP WAS A DANGER TO HIMSELF AND OTHERS.,,
012095-2018,UNAUTHORIZED USE OF MOTOR VEH - OTHER VEH,Individual,ARRESTED PERSON REMOVED A SCOOTER WITHOUT PERMISSION,Other,No
225249-2018,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Individual,UNK SUSP TOOK THE COMPS VEH W/OUT CONSENT,,
261804-2018,EVADING ARREST DETENTION W/PREV CONVICTION PC38.04(b1),Society/Public,SUSPECT RAN FROM POLICE WHEN TOLD TO STOP,,
145611-2018,UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,Individual,UNK SUSP TOOK COMPS VEHICLE WITHOUT CONSENT,,
272102-2017,UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,Individual,UNK SUSP TOOK COMP VEHICLE WITHOUT CONSENT.,Other,No
240714-2018,UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,Individual,UNK SUSP TOOK COMPS TRUCK BY UNK MEANS,,
085955-2018,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Individual,THE SUSP STOLE THE COMP'S PARKED VEHICLE.,,
155124-2018,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Individual,SUSPECT TOOK COMPS VEHICLE WITHOUT PERMISSION,,
083915-2021,PUBLIC INTOXICATION,Government,A/P WAS FOUND TO BE INTOXICATED AT THE LISTED LOCATION.,,
144619-2018,FRAUD USE/POSS IDENTIFYING INFO # ITEMS 10<50,Individual,AP POSSESSED 10 CREDIT CARDS/ID'S NOT BELONGING TO HIM,,
194921-2018,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Individual,UNKNOWN SUSPECT TOOK COMP VEHICLE WITHOUT CONSENT,,
185143-2018,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Individual,UNK SUSP TOOK COMPS VEHICLE WITH OUT PERMISSION,,
132553-2018,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Business,SUSPS TOOK COMP VEHICLES W/O PERMISSION,,
230010-2018,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Individual,UNK SUSPECT TOOK COMP'S VEHICLE W/O PERMISSION,,
161511-2018,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Individual,AP STOLE COMP'S VEHICLE WITHOUT HIS PERMISSION,,
105343-2018,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Individual,UNK SUSP/S TOOK COMPS VEHICLE WITHOUT CONSENT,,
002206-2018,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,,SUSPECT TOOK COMPS VEHICLE WITHOUT PERMISSION,Other,No
272604-2018,POSS OF DANGEROUS DRUG,Society/Public,A/P WAS IN POSSESSION OF NON SCHEDULED DANG DRUG (CLINDAMYCIN),,
252339-2018,OTHER OFFENSE - MISDEMEANOR,Government,AP COMMITED VARIOUS TRAFFIC OFFENSES,,
251416-2018,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Individual,UNKNOWN SUSPECT TOOK VEHICLE WITHOUT CONSENT.,,
002206-2018,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Individual,SUSPECT TOOK COMPS VEHICLE WITHOUT PERMISSION,Other,No
051666-2018,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Individual,UNK SUSP TOOK VEHICLE W/O CONSENT,,
052665-2018,POSS CONT SUB PEN GRP 1 <1G,Society/Public,BLACK TAR HEROIN WAS FOUND IN LEFT SOCK OF AP,,
163117-2018,POSS MARIJUANA <2OZ,Society/Public,AP POSSESSED MARIJUANA,,
243679-2018,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Individual,UNK SUSP REMOVED COMPS VEHICLE FROM LOCATION BY UNKNOWN MEANS,,
140877-2018,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Individual,AP TOOK COMPS KEYS AND MOVED COMPS CAR W/O CONSENT.,,
179654-2018,POSS CONT SUB PEN GRP 1 <1G,Society/Public,ARRESTEE WAS IN POSSESSION OF CONTROLLED SUBSTANCE,,
169481-2018,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Individual,UNKNOWN SUSPECT TOOK COMPS VEH WITHOUT PERMISSION,,
004413-2018,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Individual,AP TOOK COMPS CAR WITHOUT PERMISSION,Other,No
238236-2018,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Individual,UUMV,,
211953-2018,CRIMINAL TRESPASS WARNING,Business,AP WAS GIVEN A CRIMINAL TRESPASS WARNING BY WITNESS,,
015280-2018,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Individual,UNKNOWN SUSPECT TOOK VICTIM'S VEHICLE WITHOUT CONSENT,Other,No
197477-2017,UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,Individual,RP STATES UNKNOWN PERSON TOOK VEHICLE.,Other,No
247112-2018,POSS CONT SUB PEN GRP 1 <1G *DRUG FREE ZONE*,Society/Public,AP WAS IN POSSESION OF CONTROLLED SUBSTANCE,,
249557-2018,POSS CONT SUB PEN GRP 1 > OR EQUAL 4G<200G,Society/Public,AP WAS IN POSSESSION OF METH.,,
235381-2019,UNLAWFUL POSS FIREARM BY FELON,Society/Public,AP WAS IN POSS OF A PISTOL WITH PRIOR FELONY,Handgun,
241287-2018,POSS CONT SUB PEN GRP 1 <1G,Society/Public,POSS CS PG 1 ARREST,,
203310-2018,UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,Individual,UNK SUSP TOOK COMPS VEHICLE WITHOUT CONSENT,,
012134-2018,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Individual,UNK SUSP TOOK COMP VEH. W/O CONSENT,Other,No
169722-2018,UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,Individual,UNK SUSP TOOK COMP'S VEHICLE W/O CONSENT,,
125285-2018,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Individual,UNK SUSP TOOK COMPS VEHICLE WITHOUT PERMISSION,,
164546-2018,POSS CONT SUB PEN GRP 1 <1G,Society/Public,AP WAS IN POSSESSION OF COCAINE.,,
195964-2018,UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,Individual,A/P WAS INSIDE STOLEN VEHICLE.,,
091928-2018,POSS MARIJUANA <2OZ,Society/Public,A/P IN POSSESSION OF MARIJUANA TOTALING 22.2G,,
051951-2018,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Business,THEFT OF A CAR,,
274704-2018,PUBLIC INTOXICATION,Government,PUBLIC INTOXICATION,,
272102-2017,UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,Individual,UNK SUSP TOOK COMP VEHICLE WITHOUT CONSENT.,Other,No
143120-2018,OTHER OFFENSE - MISDEMEANOR,Government,AP WAS IN POSSESSION OF COMP'S STOLEN VEHICLE WITHOUT CONSENT.,,
126075-2018,THEFT OF PROP <$100 - OTHER THAN SHOPLIFT,Individual,UNKS SUSP TOOK COMP'S PROPERTY THEN VEH WITHOUT CONSENT,,
246868-2018,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Individual,UNK SUSPECT TOOK COMPS VEHICLE W/OUT CONSENT,,
114417-2018,BMV,Individual,SUSP BROKE INTO COMP'S VEHICLE AND TOOK PROPERTY W/OUT CONSENT,,
019980-2018,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Individual,SUSP TOOK VEHICLE WITHOUT OWNER'S CONSENT,Other,Yes
052665-2018,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Individual,UNKNOWN SUSPECTS TOOK COMPS VEHICLE,,
164546-2018,OTHER OFFENSE - MISDEMEANOR,Society/Public,AP WAS IN POSSESSION OF DRUG PARAPHERNELIA.,,
203310-2018,POSS CONT SUB PEN GRP 1 <1G,Society/Public,AP WAS IN POSESSION OF CRACK COCAINE.,,
217324-2018,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Individual,UNK SUSP TOOK THE COMP VEHICLE W/O CONSENT.,,
016480-2018,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,,UNK SUSP TOOK COMPS VEHICLE WITHOUT CONSENT,Other,No
213761-2018,EVADING ARREST DETENTION,Society/Public,AP'S RAN ON FOOT FROM OFFICERS TRYING TO DETAIN AP'S,,
171832-2018,UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,Individual,UNKN SUSP TOOK COMPS TRUCK WITHOUT PERMISSION,,
202081-2018,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Individual,UNKN SUSPECT TOOK COMP PROPERTY W/O PERMISSION,,
179654-2018,THEFT OF PROP <$100 - OTHER THAN SHOPLIFT,Individual,UNK SUSP STOLE COMP'S SET OF KEYS FROM TOP OF HER DESK.,,
251401-2018,POSS MARIJUANA <2OZ,Society/Public,AP WAS FOUND TO BE IN POSS OF MARIJUANA LESS THAN 2OZ,,
138864-2018,UNLAWFUL CARRYING WEAPON,Society/Public,IN POSSESSION OF GUN WITH MARIJUANA,Firearm (Type Not Stated),
108205-2018,POSS CONT SUB PEN GRP 1 <1G,Society/Public,ARRESTEE WAS IN POSSESSION,,
277672-2017,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,,RECOVERED STOLEN VEHICLE,Other,No
043680-2018,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Individual,COMP VEHICLE TAKEN FROM APT PARKING LOT W/O CONSENT BY UNK SUSP,,
027357-2019,THEFT OF PROP > OR EQUAL $100 <$750 (SHOPLIFT-NOT EMP) PC31.03(e2A),Business,A/P TOOK PROP W/O CONSENT,,
161885-2018,UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,Individual,UNKNOWN SUSPECT ENTERED VEHICLE AND TOOK VEHICLE W/O CONSENT,,
040378-2021,CRIMINAL TRESPASS WARNING,Business,CRIMINAL TRESPASS WARNING,,
047929-2018,RECOVERED OUT OF TOWN STOLEN VEHICLE (NO OFFENSE),Government,A/P OPERATED VEHICLE WITHOUT PERMISSION,,
223170-2018,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Business,RECOVERED OUT OF TOWN STOLEN,,
215835-2018,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Individual,UNK SUSP TOOK COMP'S VEHICLE WITHOUT PERMISSION.,,
004413-2018,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Individual,AP TOOK COMPS CAR WITHOUT PERMISSION,Other,No
132570-2018,POSS CONT SUB PEN GRP 3 < 28G *DRUG FREE ZONE*,Society/Public,SUSP WAS IN POSSESSION OF ALPRAZOLAM WITHIN 1000 FEET OF SCHOOL,,
023564-2018,UNLAWFUL CARRYING WEAPON,Society/Public,AP WAS IN POSSESSION OF A FIREARM,Handgun,No
054814-2018,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Individual,UNKNOWN SUSP TOOK COMP'S VEH W/OUT PERMISSION,,
004246-2018,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Individual,AP TOOK COMP VEHICLE W/O CONSENT.,Other,No
272604-2018,UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,Individual,UNK SUSPECT REMOVED THE LISTED PROPERTY WITHOUT PERMISSION,,
239459-2018,POSS CONT SUB PEN GRP 1 > OR EQUAL 4G<200G,Society/Public,A/P WAS IN POSSESSION OF METHAMPHETAMINE,,
218419-2018,UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,Individual,UUMV OF COMPLAINANT TRUCK,,
179141-2018,UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,Individual,UNK SUSP TOOK COMP'S VEHICLE WITHOUT CONSENT.,,
054031-2018,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Individual,AP TOOK COMP'S VEHICLE WITHOUT CONSENT,,
108075-2018,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,,AP WAS IN STOLEN VEH W/ ENGINE RUNNING. AP WAS ARRESTED FOR UUMV,,
021505-2018,UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,Individual,UNK SUSP TOOK COMPS VEHICLE WITHOUT CONSENT,Other,No
274536-2018,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Business,SUSP TOOK LISTED PROP W/O CONSENT,,
240818-2018,DWI,Government,"AP WAS DRIVING WHILE INTOXICATED ON A PUBLIC ROAD IN DALLAS, TX",,
193143-2018,UNAUTHORIZED USE OF MOTOR VEH - (ATT) TRUCK OR BUS,Individual,AP ATTEMPTED TO OPERATE COMP'S VEH W/O CONSENT,,
198331-2018,MAN DEL CONT SUB PEN GRP 1 > OR EQUAL 4G<200G,Society/Public,A/P WAS INTENDING TO DISTRIBUTE ILLEGAL NARCOTICS,,
161366-2018,CRIMINAL TRESPASS,Business,AP WAS AT THE LISTED LOCATION UNDER AN ACTIVE CT WARNING,,
180841-2018,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Individual,ARRESTEE WAS DRIVING VEHICLE WITHOUT CONSENT.,,
083009-2018,POSS MARIJUANA <2OZ,Society/Public,AP POSSESSED MARIJUANA,,
220439-2018,RECKLESS DAMAGE,Business,A/P DAMAGE PROPERTY OF COMPLAINT.NFI,,
037686-2018,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Individual,UUMV,,
102649-2018,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Business,UNKNOWN SUSP TOOK COMPS VEHICLE,,
094529-2018,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Government,AP WAS DRIVING A STOLEN VEHICLE,,
264946-2018,TRAF VIO -DISPLAY FICTITIOUS LICENSE PLATE,Society/Public,AP WAS DRIVING ON A PUBLIC ROADWAY WITH A FICTICIOUS PLATE.,,
150773-2018,ROBBERY OF INDIVIDUAL (AGG),Individual,TWO UNK SUSPS TOOK COMP'S VEH AT GUNPOINT,Handgun,UNK
150773-2018,EVADING ARREST DETENTION,Government,SUSPECT RAN FROM MARKED SQUAD AND OFFICERS,,
185979-2018,UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,Individual,AP TOOK THE COMP'S VEHICLE WITHOUT CONSENT.,,
207441-2018,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Business,A/P WAS OPERATING A STOLEN VEHICLE,,
144619-2018,FRAUD USE/POSS IDENTIFYING INFO # ITEMS 10<50,Individual,AP POSSESSED 10 CREDIT CARDS/ID'S NOT BELONGING TO HIM,,
144619-2018,FRAUD USE/POSS IDENTIFYING INFO # ITEMS 10<50,Individual,AP POSSESSED 10 CREDIT CARDS/ID'S NOT BELONGING TO HIM,,
291920-2017,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,,UNKNOWN PERSON USED COMP VEHICLE WITHOUT CONSENT,Other,No
215307-2018,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Individual,UNK SUSP TOOK COMP'S VEHICLE WITHOUT CONSENT .,,
148702-2018,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Individual,SUSP TOOK VEHICLE WITHOUT CONSENT.,,
224084-2018,RECOVERED OUT OF TOWN STOLEN VEHICLE (NO OFFENSE),Government,OUT OF TOWN RECOVERED STOLEN VEHICLE WITH ARREST.,,
054814-2018,FRAUD USE/POSS IDENTIFYING INFO # ITEMS 10<50,Government,AP WAS IN POSSESSION OF 12 PIECES OF IDENTIFYING INFO,,
091617-2018,UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,Individual,UNK SUSP. BROKE INTO COMP. VEHICLE AND TOOK IT W/O CONSENT.,,
241603-2018,RECOVERED OUT OF TOWN STOLEN VEHICLE (NO OFFENSE),Individual,A/P WAS OPERATING STOLEN VEHICLE ON PUBLIC ROADWAY W/O PERMISSION,,
179654-2018,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Individual,UNK SUSP STOLE COMP'S VEHICLE FROM PARKING LOT,,
224084-2018,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Government,RECOVERED OUT OF TOWN STOLEN VEHICLE,,
118821-2018,RECKLESS DAMAGE,Individual,AP RECKLESSLY CRASHED INTO COMP'S VEH CASUING DAMAGE,,
181780-2018,ASSAULT -OFFENSIVE CONTACT,Individual,ARRESTED PERSON HIT COMP WITH A CLOSED FIST,Personal Weapons (Hands-Feet ETC),UNK
273740-2018,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Individual,AP TOOK COMP VEH WITHOUT CONSENT,,
073273-2019,THEFT OF MATERIAL ALUM/BRNZE/COPPER <$20K PC31.03(e4F),Business,SUSP TOOK PROPERTY WITHOUT CONSENT,,
164897-2021,UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,Government,AP WAS USING THE COMP'S VEHILCE WITHOUT PERMISSION,,
224285-2018,UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,Individual,KNOWN SUSPECT TOOK COMPS VEHICLE W/OUT CONSENT,,
141251-2018,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Individual,UNKNOWN SUSP TOOK COMPS VEHICLE WITHOUT PERMISSION,,
213119-2018,POSS CONT SUB PEN GRP 1 <1G,Society/Public,AP WAS IN POSSESSION OF METHAMPHETAMINE,,
213761-2018,POSS CONT SUB PEN GRP 1 > OR EQUAL 4G<200G,Society/Public,AP WAS ARRESTED AFTER RUNNING FROM AO'S AND HAD DRUGS ON PERSON,,
144619-2018,FRAUD USE/POSS IDENTIFYING INFO # ITEMS 10<50,Individual,AP POSSESSED 10 CREDIT CARDS/ID'S NOT BELONGING TO HIM,,
149149-2018,POSS CONT SUB PEN GRP 1 <1G,Society/Public,AP WAS IN POSSESSION OF COCAINE,,
164515-2018,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Government,AP TOOK LISTED VEHICLE WITHOUT PERMISSION.,,
006038-2018,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Individual,SUSP TOOK COMPS VEHICLE WITHOUT PERMISSION,Other,No
012501-2018,PUBLIC INTOXICATION,Business,"COMP HAD BLOOD SHOT EYES, BLURRED SPEECH, BREATH SMELLED OF ALCOH",Handgun,No
239340-2018,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Individual,VEHICLE STOLEN FROM SIDE YARD.,,
118821-2018,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Individual,AP ENTERED COMP'S VEH AND STOLE VEH WITHOUT COMP'S CONSENT,,
240954-2017,EVADING ARREST DETENTION,Government,EVADING ARREST,Other,UNK
190481-2018,POSS CONT SUB PEN GRP 1 <1G,Society/Public,A/P ARRESTED FOR UUMV AND POSS COCAINE,,
118821-2018,RECKLESS DAMAGE,Individual,AP RECKLESSLY CRASHED INTO COMP'S VEH CASUING DAMAGE,,
160847-2018,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Individual,SUSPECT WAS OPERATING REPORTED STOLEN VEHICLE,,
007542-2018,UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,Individual,UNK SUSP TOOK COMPS VEHICLE WITHOUT CONSENT.,Other,No
224285-2018,"THEFT OF PROP > OR EQUAL $2,500 <$30K (NOT SHOPLIFT) PC31.03(e4A)",Business,KNOWN SUSPECT TOOK PROPERTY WITHOUT CONSENT,,
241603-2018,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Government,A/P OPERATED STOLEN VEHICLE ON PUBLIC ROADWAY WITHOUT PERMISSION.,,
115279-2019,FRAUD USE/POSS IDENTIFYING INFO # ITEMS 50 OR MORE,Government,SUSPECT WAS IN POSSESSION OF FRAUDULENT INDENTIFIERS,,
073273-2019,POSS CONT SUB PEN GRP 1 <1G,Society/Public,SUSP POSSESSED A CRYSTAL LIKE SUBSTANCE BELIEVED TO METH,,
249413-2018,DWI,Government,AP DROVE A MOTOR VEHICLE IN A PUBLIC PLACE WHILE INTOXICATED.,,
220749-2018,UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,Individual,COMP'S VEHICLE WAS STOLEN.,,
069729-2018,UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,Individual,UNK SUSP TOOK COMP VEH W/OUT PERMISSION,,
173567-2018,UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,Individual,UNK SUSP TOOK VEHICLE W/O CONSENT.,,
256368-2018,TRAFFIC VIOLATION - NON HAZARDOUS,Government,AP WAS DRIVING W/O VALID TX DL,,
003403-2019,PUBLIC INTOXICATION,Society/Public,PUBLIC INTOXICATION,,
093326-2016,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Individual,SUSPECT TOOK COMP'S VEHICLE W/OUT PERMISSION,Other,No
017326-2018,UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,,UUMV,Other,No
263684-2018,OTHER OFFENSE - MISDEMEANOR,Government,AP WAS IN POSSESION OF DRUG PARAPHRENALIA,,
254154-2018,PUBLIC INTOXICATION,Government,AP WAS ARRESTED FOR PUBLIC INTOXICATION AND TRANSPORTED TO CDC,,
273006-2018,PUBLIC INTOXICATION,Government,PUBLIC INTOXICATED,,
230010-2018,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Individual,UNK SUSPECT TOOK COMP'S VEHICLE W/O PERMISSION,,
